"filename", "language", "JSON", "Markdown", "PowerShell", "TypeScript", "JSON with Comments", "Go", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"f:\OpenBridge\Monorepo\backend\internal\usecase\download_usecase.go", "Go", 0, 0, 0, 0, 0, 279, 0, 0, 0, 10, 41, 330
"f:\OpenBridge\Monorepo\backend\internal\usecase\mount_usecase.go", "Go", 0, 0, 0, 0, 0, 555, 0, 0, 0, 19, 52, 626
"f:\OpenBridge\Monorepo\backend\internal\usecase\provider_usecase.go", "Go", 0, 0, 0, 0, 0, 108, 0, 0, 0, 16, 24, 148
"f:\OpenBridge\Monorepo\backend\internal\usecase\rclone_usecase.go", "Go", 0, 0, 0, 0, 0, 547, 0, 0, 0, 0, 73, 620
"f:\OpenBridge\Monorepo\backend\internal\usecase\settings_usecase.go", "Go", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 24, 129
"f:\OpenBridge\Monorepo\backend\internal\usecase\storage_usecase.go", "Go", 0, 0, 0, 0, 0, 268, 0, 0, 0, 40, 65, 373
"f:\OpenBridge\Monorepo\backend\internal\usecase\system_usecase.go", "Go", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 25, 194
"f:\OpenBridge\Monorepo\backend\internal\usecase\user_usecase.go", "Go", 0, 0, 0, 0, 0, 246, 0, 0, 0, 22, 48, 316
"f:\OpenBridge\Monorepo\backend\main.go", "Go", 0, 0, 0, 0, 0, 210, 0, 0, 0, 17, 35, 262
"f:\OpenBridge\Monorepo\backend\web\embed.go", "Go", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"f:\OpenBridge\Monorepo\build.ps1", "PowerShell", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\OpenBridge\Monorepo\docs\API.md", "Markdown", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 133, 338
"f:\OpenBridge\Monorepo\docs\backend_dev.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 31, 100
"f:\OpenBridge\Monorepo\docs\frontend_dev.md", "Markdown", 0, 828, 0, 0, 0, 0, 0, 0, 0, 0, 337, 1165
"f:\OpenBridge\Monorepo\docs\homework2.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 19, 58
"f:\OpenBridge\Monorepo\docs\openlist_api.md", "Markdown", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 45, 180
"f:\OpenBridge\Monorepo\docs\task\week1.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\OpenBridge\Monorepo\docs\task\week10.md", "Markdown", 0, 1009, 0, 0, 0, 0, 0, 0, 0, 0, 366, 1375
"f:\OpenBridge\Monorepo\docs\task\week11.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10
"f:\OpenBridge\Monorepo\docs\task\week2.md", "Markdown", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 95, 341
"f:\OpenBridge\Monorepo\docs\task\week3.md", "Markdown", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 86, 344
"f:\OpenBridge\Monorepo\docs\task\week4.md", "Markdown", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 99, 279
"f:\OpenBridge\Monorepo\docs\task\week5.md", "Markdown", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 66, 211
"f:\OpenBridge\Monorepo\docs\task\week6&7.md", "Markdown", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 49, 177
"f:\OpenBridge\Monorepo\docs\task\week8&9.md", "Markdown", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 76, 227
"f:\OpenBridge\Monorepo\docs\团队开发.md", "Markdown", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 110, 342
"f:\OpenBridge\Monorepo\docs\文档框架.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 13, 37
"f:\OpenBridge\Monorepo\docs\项目架构文档.md", "Markdown", 0, 802, 0, 0, 0, 0, 0, 0, 0, 0, 161, 963
"f:\OpenBridge\Monorepo\env.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"f:\OpenBridge\Monorepo\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"f:\OpenBridge\Monorepo\frontend\package-lock.json", "JSON", 2031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2032
"f:\OpenBridge\Monorepo\frontend\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"f:\OpenBridge\Monorepo\frontend\src\api\endpoints.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 18, 10, 65
"f:\OpenBridge\Monorepo\frontend\src\api\mount.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 7, 35
"f:\OpenBridge\Monorepo\frontend\src\api\provider.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 5, 29
"f:\OpenBridge\Monorepo\frontend\src\api\quota.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 2, 14
"f:\OpenBridge\Monorepo\frontend\src\api\rclone.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"f:\OpenBridge\Monorepo\frontend\src\api\settings.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"f:\OpenBridge\Monorepo\frontend\src\api\storage.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 5, 28
"f:\OpenBridge\Monorepo\frontend\src\api\system.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"f:\OpenBridge\Monorepo\frontend\src\api\task.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 7, 42
"f:\OpenBridge\Monorepo\frontend\src\api\token.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\OpenBridge\Monorepo\frontend\src\api\user.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 8, 54
"f:\OpenBridge\Monorepo\frontend\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\OpenBridge\Monorepo\frontend\src\i18n\index.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"f:\OpenBridge\Monorepo\frontend\src\i18n\locales\en.json", "JSON", 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 544
"f:\OpenBridge\Monorepo\frontend\src\i18n\locales\zh-CN.json", "JSON", 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 544
"f:\OpenBridge\Monorepo\frontend\src\main.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"f:\OpenBridge\Monorepo\frontend\src\mock\dashboard.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"f:\OpenBridge\Monorepo\frontend\src\mock\provider.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"f:\OpenBridge\Monorepo\frontend\src\mock\quota.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"f:\OpenBridge\Monorepo\frontend\src\mock\tasks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\OpenBridge\Monorepo\frontend\src\router\index.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"f:\OpenBridge\Monorepo\frontend\src\stores\console.ts", "TypeScript", 0, 0, 0, 523, 0, 0, 0, 0, 0, 30, 66, 619
"f:\OpenBridge\Monorepo\frontend\src\styles\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 604, 0, 0, 2, 108, 714
"f:\OpenBridge\Monorepo\frontend\src\types\api.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"f:\OpenBridge\Monorepo\frontend\src\types\common.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"f:\OpenBridge\Monorepo\frontend\src\types\dashboard.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"f:\OpenBridge\Monorepo\frontend\src\types\download.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 3, 36
"f:\OpenBridge\Monorepo\frontend\src\types\mount.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"f:\OpenBridge\Monorepo\frontend\src\types\provider.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\OpenBridge\Monorepo\frontend\src\types\quota.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"f:\OpenBridge\Monorepo\frontend\src\types\rclone.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"f:\OpenBridge\Monorepo\frontend\src\types\task.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\OpenBridge\Monorepo\frontend\src\types\token.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\OpenBridge\Monorepo\frontend\src\utils\request.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 4, 36
"f:\OpenBridge\Monorepo\frontend\src\utils\session.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 14, 92
"f:\OpenBridge\Monorepo\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"f:\OpenBridge\Monorepo\frontend\tsconfig.node.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\OpenBridge\Monorepo\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"f:\OpenBridge\Monorepo\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 3157, 4499, 15, 1172, 26, 5176, 604, 12, 44, 391, 2985, 18081
